incluido;id_contrato;referencia;dependencia;proveedor;categorias;valor_contrato;tipo_inferido;estado;fecha_aprobacion;valor_resultante;dias_extendidos;proposito_texto
SI;CO1.PCCNTR.9686895;1.210.19.13-8166;Valle · Educación;OSCAR J. ORTIZ CUELLAR;Alimentación y catering;90000000;Ajuste presupuestal;Publicado;2026-07-30;90000000;90;Se actualiza información presupuestal respecto al plan de pagos acorde a lo estipulado en la cláusula septima del complemento al contrato electrónico.
SI;CO1.PCCNTR.9686672;1.210.19.13-8167;Valle · Educación;Viviana Martinez Garcia;Alimentación y catering;72000000;Ajuste presupuestal;Publicado;2026-07-29;72000000;0;Se actualiza información presupuestal respecto al plan de pagos acorde a lo estipulado en la cláusula septima del complemento al contrato electrónico.
SI;CO1.PCCNTR.9348067;100.8.4.419.2026;Cali · Concejo Distrital;CYC SUPERSERVICIOS INTEGRALES SAS;Cafetería y suministros;65646607;Adición en valor+Prórroga de plazo;Publicado;2026-03-19;65646607;20;Adición y prorroga
SI;CO1.PCCNTR.9348067;100.8.4.419.2026;Cali · Concejo Distrital;CYC SUPERSERVICIOS INTEGRALES SAS;Cafetería y suministros;65646607;Otra;Publicado;2026-07-29;65646607;20;Se termina contrato por cumplimiento de obligaciones y plazo.
SI;CO1.PCCNTR.9686831;1.210.19.13-8146;Valle · Educación;MARIA ANGELICA CABALLERO QUIÑONEZ;Alimentación y catering;47631060;Otra;Publicado;2026-07-30;47631060;0;Por error de digitalización en el cargue de los documentos del contratista en el punto 5. documentos del contrato se adjuntaron documentos del contratista que no correspondían. En consecuencia se subsana tal situación y cargando nuevamente los documentos aportados previamente por el contratista sin que ello modifique las condiciones iniciales del contrato.
SI;CO1.PCCNTR.9687135;1.210.19.13-8168;Valle · Educación;Karol Isabella Flórez Hurtado;Alimentación y catering;45000000;Ajuste presupuestal;Publicado;2026-07-29;45000000;91;Se actualiza información presupuestal respecto al plan de pagos acorde a lo estipulado en la cláusula septima del complemento al contrato electrónico.
NO;CO1.PCCNTR.8927617;1.420.19.13-1162;Valle · Paz Territorial;DANIELA RODRIGUEZ RAMIREZ;Transporte y viajes;30000000;Aclaración o corrección;Publicado;2026-01-28;30000000;0;SE ACLARA EL NUMERO DEL CONTRATO TENIENDO EN CUENTA EL COMPLEMENTO PUBLICADO.
SI;CO1.PCCNTR.9397230;1.02.19.15-6028;Valle · Casa del Valle;AGENCIA DE VIAJES Y TURISMO AVIATUR S.A.S.;Transporte y viajes;30000000;Sin descripción;Cancelado;;30000000;0;No definido
SI;CO1.PCCNTR.9537628;100.8.4.421.2026;Cali · Concejo Distrital;UNIVERSIDAD DE PAMPLONA;Logística y eventos;30000000;Prórroga de plazo;Publicado;2026-08-21;30000000;60;MODIFICATORIO CONTRATO 100.8.4.421.2026 (PRORROGA)
SI;CO1.PCCNTR.8774223;4131.010.26.1.0032-2026;Cali · Hacienda;JUAN PABLO ORTIZ HENAO;Cafetería y suministros;28830000;Adición en valor+Prórroga de plazo;Publicado;2026-04-10;28830000;61;SE PRORROGA EL PLAZO DE EJECUCIÓN HASTA EL 30 DE JUNIO DE 2026 Y SE ADICIONAN 2 CUOTAS AL VALOR DEL CONTRATO - VER ANEXOS
